iteration,column,phase,Vr,Vg,Vb,obs_R,obs_G,obs_B,distance,timestamp
0,1,random,67.49,65.58,66.94,80.2,62.8,96.9,176.72,2026-03-26T13:39:48.707922
1,2,random,30.77,9.5,159.73,97.2,76.3,99.8,175.68,2026-03-26T13:42:57.685848
2,3,random,61.12,135.44,3.44,85.3,70.7,107.3,169.22,2026-03-26T13:46:06.208765
3,4,bo,1.17,19.38,179.45,46.6,165.0,151.7,211.0,2026-03-26T13:49:57.745298
4,5,bo,94.32,65.2,40.48,72.5,57.2,96.9,177.03,2026-03-26T13:54:22.917161
5,6,bo,51.66,57.19,91.15,68.5,48.0,98.0,174.58,2026-03-26T13:58:49.759895
6,7,bo,10.01,34.25,155.74,63.4,75.9,121.1,166.89,2026-03-26T14:03:14.696366
7,8,bo,19.89,97.73,82.38,57.6,47.6,100.6,176.26,2026-03-26T14:07:43.377470
8,9,bo,9.41,26.42,164.17,72.9,96.5,122.0,173.33,2026-03-26T14:12:03.583506
9,10,bo,21.53,47.18,131.29,77.5,72.0,111.9,167.94,2026-03-26T14:16:29.205656
